division_name,depot_name,route_code,device_imei,event_location,event_date,speed,ignition_status,gps_status,main_battery_status,vehicle_status,running_status,vehicle_reg_no
MUMBAI,MUMBAI CENTRAL,,8.67322E+14,MUMBAI CENTRAL Depot,08:26.0,0,1,1,1,ON ROAD,locationEvent,MH20BL3334
NAGPUR,UMRED,,8.62818E+14,"Umred, Nagpur, Maharashtra, 441203, India",07:43.0,0,0,2,0,ON ROAD,"locationEvent,stopEvent",MH40N9609
THANE,WADA,,8.62818E+14,"Wada, Palghar, Maharashtra, India",07:37.0,0,0,1,0,ON ROAD,locationEvent,MH20D8844
RATNAGIRI,CHIPLUN,,8.68997E+14,CHIPLUN Depot,07:30.0,0,0,1,0,ON ROAD,locationEvent,MH14BT1485
PUNE,TALEGAON,,8.62818E+14,"Shirur, Pune, Pune District, Maharashtra, 413249, India",05:54.0,0,1,1,0,ON ROAD,"locationEvent,stopEvent,lowBatteryAlert",MH06S8296
LATUR,LATUR,,8.62818E+14,"NH548B, Khadgaon, Latur, Maharashtra, 413512, India",05:46.0,0,0,1,0,ON ROAD,locationEvent,MH20BL1614
JALGAON,JALGAON,,8.69247E+14,JALGAON Depot,05:26.0,0,0,1,0,ON ROAD,locationEvent,MH14BT3910
PALGHAR,NALASOPARA,,8.69247E+14,NALASOPARA Depot,05:08.0,0,0,1,1,ON ROAD,locationEvent,MH14BT1899
RATNAGIRI,KHED,,8.62818E+14,"SH104, Khed, Kulaba, Konkan Division, Maharashtra, 415709, India",05:03.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH12EF6989
PUNE,SASWAD,,8.62818E+14,SASWAD - Bus Stop,04:57.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH07C9052
NAGPUR,NAGPUR CBS 1,,8.62818E+14,"Shaniwari, Gandhi Baug, Nagpur, Maharashtra, 440001, India",04:33.0,0,1,2,1,ON ROAD,locationEvent,MH40N9605
PUNE,BARAMATI,,8.62818E+14,"Baramati Bus Stand, Doctor Ambedakar Putalal Road, Samarth Nagar, Baramati, Pune, Pune District, Maharashtra, India",04:22.0,0,0,1,1,ON ROAD,locationEvent,MH12EF6421
WARDHA,TALEGAV,,8.62818E+14,"NH53, Talegaon, Wardha, Maharashtra, 442204, India",04:17.0,0,0,1,1,ON ROAD,locationEvent,MH40Y5002
WARDHA,WARDHA,,8.62818E+14,"Wardha, Maharashtra, 442001, India",04:16.0,0,0,1,0,ON ROAD,"locationEvent,mainBatteryDisconnectAlert",MH40AQ6142
SOLAPUR,SOLAPUR,,8.62818E+14,"Mhesh Nagar, Solapur, Maharashtra, 413001, India",03:31.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent,lowBatteryAlert",MH14BT0547
KOLHAPUR,ICHALKARANJI,,8.68997E+14,SHAHAPUR - Bus Stop,03:17.0,0,0,1,0,ON ROAD,locationEvent,MH20BL1136
THANE,BHIVANDI,,8.62818E+14,"??????, Bhiwandi, Thane, Maharashtra, 421302, India",03:01.0,0,0,1,0,ON ROAD,locationEvent,MH14BT1402
PUNE,NARAYANGAON,,8.68997E+14,"SH52, Ozhar, Narayangaon, Pune, Pune District, Maharashtra, 410504, India",02:37.0,0,0,1,1,ON ROAD,locationEvent,MH07C7541
WARDHA,WARDHA,,8.62818E+14,"Wardha, Maharashtra, 442001, India",02:31.0,0,0,1,1,ON ROAD,locationEvent,MH40N9997
SOLAPUR,KURDUWADI,,8.62818E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",00:16.0,0,0,1,0,ON ROAD,"locationEvent,lowBatteryAlert",MH14BT4691
AMRAVATI,BADNERA,,8.62818E+14,"Badnera, Amravati, Maharashtra, 444700, India",00:12.0,0,0,1,0,ON ROAD,"locationEvent,mainBatteryDisconnectAlert",MH07C7142
NASIK,LASALGAON,,8.67322E+14,PIMPALGAON Depot,59:34.0,0,1,1,1,ON ROAD,locationEvent,MH14BT3275
DHULE,NANDURBAR,,8.68997E+14,"Nandurbar, Nandubar, Maharashtra, 425412, India",58:45.0,0,0,1,0,AT DWS,"locationEvent,lowBatteryAlert",MH20BL3146
KOLHAPUR,SAMBHAJI NAGAR,,8.68997E+14,"Sambhaji Nagar Bus Stand, SH130, Old More Colony, Rajarampuri, Kolhapur, Maharashtra, 416007, India",57:45.0,0,0,1,0,ON ROAD,"locationEvent,lowBatteryAlert",MH14BT3135
CHANDRAPUR,RAJURA,,8.62818E+14,"Rajura, Chandrapur, Maharashtra, India",57:35.0,0,0,1,0,ON ROAD,locationEvent,MH07C9378
NASIK,LASALGAON,,8.67322E+14,"SH7, Shastrinagar, ?????, Nashik, Maharashtra, 422306, India",57:14.0,0,0,1,0,AT DWS,"locationEvent,ignitionOffAlert",MH06S8288
SATARA,SATARA,,8.68996E+14,SATARA Depot,56:44.0,0,0,1,0,ON ROAD,locationEvent,MH14BT3580
KOLHAPUR,ICHALKARANJI,,8.69247E+14,"Vikash Nagar, Jawaharnagar, Ichalkaranji, Hatkanangle, Kolhapur, Maharashtra, India",55:42.0,0,0,1,0,ON ROAD,locationEvent,MH14BT4146
OSMANABAD,TULJAPUR,,8.69247E+14,TULJAPUR Depot,55:25.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH13CU7916
AURANGABAD,AURANGABAD II,,8.69247E+14,"Corporation Swimming Pool, Bus Station Road, Guatam Nagar, Cantonment, Aurangabad, Maharashtra, 431002, India",55:12.0,0,0,1,0,ON ROAD,locationEvent,MH20BL4056
NASIK,LASALGAON,,8.67322E+14,PIMPALGAON Depot,54:42.0,0,1,1,1,ON ROAD,locationEvent,MH14BT3334
RAIGAD,MAHAD,,8.68997E+14,"Murud bus station, Revdanda Murud Road, Murud, Kulaba, Raigad, Maharashtra, 402400, India",54:07.0,0,0,1,0,AT DWS,"locationEvent,stopEvent",MH14BT9411
SOLAPUR,SOLAPUR,,8.62818E+14,"Mhesh Nagar, Solapur, Maharashtra, 413001, India",54:02.0,0,0,1,0,ON ROAD,locationEvent,MH20BL4214
JALNA,JALNA,,8.69247E+14,"Rahmangunj, Jalna, Maharashtra, 431200, India",53:50.0,0,0,1,0,ON ROAD,locationEvent,MH14BT1991
NASIK,MANMAD,,8.67322E+14,"Manmad Bus Depot, NH752G, Bhabad Basti, Manmad, ?????, Nashik, Maharashtra, 423104, India",53:39.0,0,1,1,1,ON ROAD,"mainBatteryConnectAlert,locationEvent",MH14BT3814
RAIGAD,MURUD,,8.62818E+14,"Murud bus station, Revdanda Murud Road, Murud, Kulaba, Raigad, Maharashtra, 402400, India",53:09.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH14BT3949
WARDHA,ARVI,,8.62818E+14,"NH647, Arvi, Wardha, Maharashtra, 442200, India",52:51.0,24.8,0,1,1,ON ROAD,locationEvent,MH40Y5944
SOLAPUR,KURDUWADI,,8.69247E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",52:23.0,0,0,1,0,ON ROAD,"locationEvent,mainBatteryDisconnectAlert",MH20D8167
SOLAPUR,KURDUWADI,,8.62818E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",52:17.0,0,0,1,0,ON ROAD,"stopEvent,mainBatteryDisconnectAlert,locationEvent",MH11BL9404
NASIK,SINNAR,,8.67322E+14,"Malegaon, ?????, Nashik, Maharashtra, 423200, India",51:26.0,62,1,1,1,ON ROAD,locationEvent,MH40Y5663
SINDHUDURG,MALVAN,,8.62818E+14,"Late Shri Babi HAdkar Marg, Malvan, Sindhudurg, Maharashtra, India",50:55.0,0,0,1,0,AT DWS,locationEvent,MH20BL2958
MUMBAI,PANVEL,,8.67322E+14,PANVEL Depot,50:50.0,0,1,1,1,ON ROAD,locationEvent,MH14BT1951
NASIK,SATANA,,8.67322E+14,"NH160, Thane, Maharashtra, 422402, India",50:48.0,68.8,1,1,1,ON ROAD,"locationEvent,speedViolationEndAlert",MH40Y5652
SOLAPUR,KURDUWADI,,8.62818E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",49:46.0,0,0,1,0,ON ROAD,"stopEvent,mainBatteryDisconnectAlert,locationEvent",MH40AQ6292
SINDHUDURG,VENGURLE,,8.62818E+14,"Sagari Mahamarg, Mochemad Beach, Vengurla, Sindhudurg, Maharashtra, 416516, India",49:36.0,0,1,2,1,ON ROAD,locationEvent,MH14BT1795
NAGPUR,NAGPUR RURAL 1,,8.62818E+14,"Shaniwari, Gandhi Baug, Nagpur, Maharashtra, 440001, India",49:35.0,0,0,1,0,ON ROAD,"locationEvent,mainBatteryDisconnectAlert",MH40N8207
NASIK,SATANA,,8.67322E+14,"NH160, Ghoti, ?????, Nashik, Maharashtra, 422402, India",49:31.0,0,0,1,1,ON ROAD,locationEvent,MH14BT4497
BHANDARA,SAKOLI,,8.62818E+14,"Sakoli, Bhandara, Bhandara, Maharashtra, 441802, India",49:16.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH40AQ6186
SANGLI,VITA,,8.62818E+14,VITA Depot,49:11.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent,unauthorizedStopAlert",MH14BT4297
NASIK,KALWAN,,8.67322E+14,"MDR4, Kalwan, ?????, Nashik, Maharashtra, 423500, India",48:37.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent,unauthorizedStopAlert",MH14BT0367
KOLHAPUR,ICHALKARANJI,,8.68997E+14,"Vikash Nagar, Jawaharnagar, Ichalkaranji, Hatkanangle, Kolhapur, Maharashtra, India",48:01.0,0,0,1,0,ON ROAD,locationEvent,MH14BT2910
MUMBAI,KURLA NEHRU NAGAR,,8.67322E+14,"Vasantarao Naik Marg, Milan Nagar, Zone 5, Mumbai, Mumbai Suburban, Maharashtra, 400024, India",47:26.0,13.4,1,1,1,ON ROAD,locationEvent,MH14BT3954
THANE,BHIVANDI,,8.62818E+14,"NH848, ??????, Bhiwandi, Thane, Maharashtra, 421302, India",46:59.0,0,0,1,0,ON ROAD,locationEvent,MH14BT3981
SATARA,MAHABALESHWAR,,8.62818E+14,"SH61, Sadar Bazar, Satara, Maharashtra, 415002, India",46:41.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH14BT4148
NAGPUR,NAGPUR CBS 2,,8.62818E+14,"Gandhi Baug, Nagpur, Maharashtra, 440001, India",46:38.0,0,0,1,0,ON ROAD,locationEvent,MH07C7591
CHANDRAPUR,RAJURA,,8.62818E+14,"NH930D, Chandrapur, Maharashtra, India",46:30.0,0,0,1,0,ON ROAD,"stopEvent,unauthorizedStopAlert,locationEvent",MH07C9323
NASIK,MANMAD,,8.67322E+14,MANMAD Depot,46:16.0,0,1,1,1,ON ROAD,locationEvent,MH14BT4083
MUMBAI,PANVEL,,8.67322E+14,"Panvel Station Circle, New Panvel, Panvel, Kulaba, Raigad, Maharashtra, 410206, India",45:57.0,0,1,1,1,ON ROAD,locationEvent,MH20BL1570
PUNE,SHIRUR,,8.62818E+14,"Shirur, Pune, Pune District, Maharashtra, 413249, India",45:33.0,0,0,1,0,ON ROAD,"locationEvent,mainBatteryDisconnectAlert",MH06S8433
CHANDRAPUR,CHANDRAPUR,,8.62818E+14,CHANDRAPUR - Bus Stop,45:20.0,8.3,0,1,0,ON ROAD,"mainBatteryDisconnectAlert,locationEvent",MH40N9457
THANE,THANE II,,8.67322E+14,THANE CBS - Bus Stop,44:57.0,0,0,1,0,ON ROAD,locationEvent,MH14BT2271
SOLAPUR,KURDUWADI,,8.62818E+14,"Kurduvadi, Solapur, Maharashtra, 413230, India",44:50.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH14BT0931
RAIGAD,ALIBAG,,8.68997E+14,ALIBAG Depot,44:48.0,0,0,1,0,ON ROAD,locationEvent,MH07C7399
SANGLI,MIRAJ,,8.69247E+14,"Miraj, ??????, Sangli, Sangli district, Maharashtra, 416400, India",44:21.0,0,0,1,0,ON ROAD,locationEvent,MH14BT1076
JALNA,JALNA,,8.69247E+14,JALNA Depot,43:16.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH14BT2375
PUNE,SHIRUR,,8.62818E+14,SHIRUR Depot,42:54.0,0,1,2,1,ON ROAD,locationEvent,MH14BT3378
RATNAGIRI,KHED,,8.69247E+14,"SH104, Khed, Kulaba, Konkan Division, Maharashtra, 415709, India",42:19.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH20BL2748
OSMANABAD,OSMANABAD,,8.68997E+14,OSMANABAD Depot,42:09.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent",MH07C7233
